security_id,cusip,sedol,isin,ric,bloomberg,bbg,symbol,root_symbol,bb_yellow,spn
BBG00NRVY370,A0400Q115,BPH3KB7,AT0000A18XM4,0QWC.L,8821874,BBG00NRVY370,0QWC LI,0QWC,0QWC LN Equity,1
BBG00NRVXYL7,H8300N119,BKJ8Y35,CH0012280076,0QMV.L,328110,BBG00NRVXYL7,0QMV LI,0QMV,0QMV LN Equity,2
BBG00NRVY192,H2878E106,BKJ90H4,CH0102659627,0QN3.L,116653,BBG00NRVY192,0QN3 LI,0QN3,0QN3 LN Equity,3
BBG00NRVXWR5,H8398N104,B11JQ82,CH0008742519,0QKI.L,221709,BBG00NRVXWR5,0QKI LI,0QKI,0QKI LN Equity,4
BBG00JHW70R2,W5303A147,BN71XC9,SE0014990966,0RB7.L,7326215,BBG00JHW70R2,0RB7 LI,0RB7,0RB7 LN Equity	,5
